date,decimal,to go
1241200,8627,371995
241200,8627,371994
1241200,8627,371993
412007,8627,371992
412006,8628,371991
851276,8638,371990
761786,8642,371989
761785,8643,371988
761893,8677,371987
751872,8699,371986
721273,8703,371985
721272,8704,371984
981255,8714,371983
921221,8735,371982
1221033,8738,371981
221033,8738,371980
1221033,8738,371979
141952,8772,371978
1141952,8772,371977
1141952,8772,371976
521238,8776,371975
281531,8782,371974
8281531,8782,371973
281530,8783,371972
8281530,8783,371971
911408,8788,371970
911407,8789,371969
251523,8801,371968
251522,8802,371967
581807,8812,371966
471626,8819,371965
471625,8820,371964
591669,8824,371963
591668,8825,371962
451333,8831,371961
331239,8835,371960
791192,8849,371959
791191,8850,371958
911915,8850,371957
191533,8852,371956
1191533,8852,371955
1191533,8852,371954
191532,8853,371953
1191532,8853,371952
1191532,8853,371951
441860,8868,371950
482018,8901,371949
482017,8902,371948
8201793,8903,371947
8201792,8904,371946
831833,8919,371945
831832,8920,371944
271314,8924,371943
3271314,8924,371942
131425,8926,371941
7131425,8926,371940
251703,8930,371939
4251703,8930,371938
251702,8932,371937
4251702,8932,371936
681836,8986,371935
651519,9072,371934
651518,9073,371933
151875,9074,371932
5151875,9074,371931
471196,9080,371930
711962,9081,371929
621844,9085,371928
941130,9111,371927
411303,9111,371926
261794,9122,371925
5261794,9122,371924
261793,9123,371923
5261793,9123,371922
741208,9134,371921
741207,9135,371920
651479,9141,371919
761219,9170,371918
761218,9171,371917
121866,9172,371916
6121866,9172,371915
121865,9173,371914
6121865,9173,371913
561967,9177,371912
561252,9192,371911
521632,9196,371910
2221033,9210,371909
221032,9211,371908
2221032,9211,371907
921865,9220,371906
561514,9244,371905
151446,9246,371904
6151446,9246,371903
781423,9274,371902
261177,9311,371901
8261177,9311,371900
611772,9312,371899
611771,9313,371898
771859,9315,371897
771858,9317,371896
381409,9323,371895
321514,9347,371894
321513,9348,371893
151376,9349,371892
2151376,9349,371891
151375,9350,371890
2151375,9350,371889
641725,9403,371888
961226,9420,371887
961225,9421,371886
571429,9426,371885
671544,9434,371884
671543,9435,371883
861445,9448,371882
861444,9449,371881
581231,9454,371880
1231459,9457,371879
231459,9457,371878
1231459,9457,371877
571985,9464,371876
571984,9465,371875
471605,9476,371874
221242,9485,371873
9221242,9485,371872
141215,9494,371871
141214,9495,371870
121478,9496,371869
4121478,9496,371868
551050,9508,371867
1081754,9539,371866
141223,9553,371865
7141223,9553,371864
431006,9587,371863
